xloc,yloc,q,t0,c,m,WT,K,poro,VGa,VGm,VGSr,recharge
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,1.625000e+00,-1.025000e+01,-1.425000e+01,2.750000e-01,2.000000e-03,5.000000e-01,1.000000e-02,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.025000e+01,-1.425000e+01,2.750000e-01,2.000000e-03,5.000000e-01,1.000000e-02,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.025000e+01,-1.200000e+01,2.750000e-01,2.000000e-03,5.000000e-01,1.000000e-02,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,2.750000e-01,2.000000e-03,5.000000e-01,1.000000e-02,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,2.750000e-01,2.000000e-03,5.000000e-01,1.525000e-01,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,2.750000e-01,2.000000e-03,8.000000e-01,1.525000e-01,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,2.000000e+01,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,3.500000e-01,2.000000e-03,8.000000e-01,1.525000e-01,1.000000e-03
2.000000e+00,7.500000e+00,-1.250000e+00,5.000000e+00,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,3.500000e-01,2.000000e-03,8.000000e-01,1.525000e-01,1.000000e-03
8.000000e+00,7.500000e+00,-1.250000e+00,5.000000e+00,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,3.500000e-01,2.000000e-03,8.000000e-01,1.525000e-01,1.000000e-03
8.000000e+00,7.500000e+00,1.000000e+00,5.000000e+00,1.125000e+00,5.000000e-01,-1.400000e+01,-1.200000e+01,3.500000e-01,2.000000e-03,8.000000e-01,1.525000e-01,1.000000e-03
