xloc,yloc,q,t0,c,m
2.291994e+00,5.263409e+00,1.253727e-01,1.311326e+01,1.777974e+00,4.965036e-01
1.909897e+00,5.227133e+00,3.779264e-01,1.304493e+01,1.243504e+00,5.762159e-01
3.718106e+00,5.561213e+00,-3.846457e-01,1.268995e+01,1.261195e+00,4.801479e-01
2.479604e+00,5.679566e+00,-8.646572e-02,1.376628e+01,1.091768e+00,4.534037e-01
1.908194e+00,5.138414e+00,1.467125e-01,1.250753e+01,2.316381e+00,4.963225e-01
1.089075e-01,4.081759e+00,-4.060441e-02,1.621460e+01,9.197698e-01,4.584249e-01
1.669935e+00,5.491715e+00,3.003961e-01,1.434968e+01,1.421899e+00,4.698413e-01
1.227577e+00,5.232375e+00,2.813100e-01,1.279784e+01,1.936001e+00,4.636749e-01
1.514850e+00,5.682891e+00,1.465103e-01,1.407503e+01,2.273256e+00,5.279188e-01
1.338132e+00,5.889086e+00,7.369734e-02,1.239300e+01,1.802466e+00,5.095385e-01
1.104717e+00,6.256264e+00,4.356842e-01,1.807308e+01,7.954028e-01,4.548353e-01
1.635335e+00,5.908523e+00,2.417709e-01,1.520428e+01,2.212669e+00,4.865475e-01
2.992376e+00,4.177886e+00,1.684038e-01,1.420364e+01,8.495305e-01,5.771541e-01
1.408272e+00,5.270720e+00,1.874908e-01,1.342694e+01,2.463132e+00,5.248889e-01
1.652960e+00,5.588351e+00,1.048292e-01,1.268144e+01,5.333727e-01,4.953229e-01
1.736943e+00,6.043151e+00,-1.405997e-01,9.099559e+00,9.970723e-01,5.437341e-01
1.578149e+00,5.505989e+00,3.729248e-01,1.417600e+01,6.296358e-01,5.413780e-01
1.234760e+00,5.020415e+00,9.857017e-02,1.377149e+01,1.592732e+00,5.818538e-01
1.508839e+00,4.959779e+00,2.614576e-01,1.351831e+01,1.303787e+00,5.921422e-01
2.029921e+00,5.887005e+00,7.180384e-01,1.411885e+01,1.108784e+00,5.374763e-01
8.815386e-01,5.505974e+00,2.537017e-01,1.350059e+01,7.775897e-01,5.268220e-01
1.813869e+00,4.868034e+00,3.370017e-01,1.480657e+01,1.638966e+00,4.653392e-01
1.773514e+00,5.126733e+00,3.793140e-01,1.338368e+01,1.493316e+00,4.956076e-01
1.418149e+00,5.940106e+00,2.949195e-01,1.365525e+01,2.054128e+00,5.559653e-01
2.244167e+00,4.517378e+00,7.800706e-01,1.635383e+01,8.236428e-01,4.580284e-01
2.858810e+00,6.014705e+00,6.571630e-01,1.149655e+01,1.143897e+00,4.738412e-01
1.633773e+00,5.624506e+00,1.640754e-01,1.345210e+01,2.974845e+00,5.154848e-01
1.352013e+00,6.295287e+00,2.851982e-01,1.323671e+01,1.207194e+00,5.315955e-01
1.734435e+00,5.356368e+00,2.810048e-01,1.398805e+01,1.665550e+00,5.115220e-01
1.723663e+00,5.215908e+00,1.727364e-01,1.343059e+01,1.831172e+00,5.510251e-01
2.350871e+00,4.627137e+00,3.012040e-01,1.552228e+01,2.382297e+00,5.175206e-01
2.469269e+00,5.299965e+00,1.030799e-01,1.657913e+01,1.030520e+00,5.536162e-01
1.299658e+00,4.335695e+00,-3.806943e-01,1.240888e+01,5.891756e-01,5.830282e-01
1.081168e+00,5.979739e+00,2.928437e-01,1.588696e+01,1.522130e+00,4.855382e-01
2.462539e+00,5.133979e+00,4.166777e-01,1.054375e+01,7.499161e-01,6.201691e-01
1.529694e+00,5.018716e+00,3.676750e-01,1.291203e+01,6.936198e-01,4.819315e-01
2.318635e+00,4.616230e+00,3.671609e-01,1.367414e+01,1.976759e+00,5.520418e-01
1.692193e+00,5.891927e+00,3.175229e-01,1.329337e+01,6.804255e-01,5.126950e-01
1.720321e+00,5.562512e+00,3.098290e-01,1.327752e+01,1.546349e+00,5.024201e-01
1.852232e+00,5.195970e+00,4.453746e-01,1.126972e+01,1.854342e+00,5.118036e-01
1.811250e+00,5.600315e+00,3.255302e-01,1.372770e+01,2.154356e+00,4.636268e-01
1.784843e+00,5.174416e+00,4.187450e-01,1.363283e+01,8.868597e-01,5.549686e-01
1.658638e+00,4.904673e+00,1.006107e-01,1.201183e+01,1.392686e+00,5.564777e-01
1.856370e+00,5.338619e+00,2.725935e-01,1.362075e+01,1.044078e+00,5.127325e-01
1.868258e+00,5.382899e+00,3.138848e-01,1.371616e+01,2.115135e+00,5.350472e-01
1.449650e+00,4.858453e+00,2.860048e-01,1.196572e+01,1.748230e+00,5.062476e-01
1.620828e+00,5.296773e+00,3.964625e-01,1.376712e+01,1.341385e+00,5.474927e-01
1.847455e+00,5.504811e+00,2.756016e-01,1.309361e+01,2.418624e+00,5.269005e-01
2.099113e+00,5.071025e+00,2.885806e-01,1.557782e+01,2.304513e+00,4.675419e-01
1.445077e+00,5.331129e+00,2.973513e-01,1.506287e+01,1.876579e+00,5.494514e-01
1.996749e+00,6.323669e+00,4.744551e-01,1.349249e+01,9.406475e-01,6.079781e-01
1.513097e+00,5.239653e+00,6.935998e-01,1.585388e+01,6.182122e-01,6.537178e-01
1.571050e+00,5.462053e+00,3.088505e-01,1.386380e+01,2.238712e+00,5.270416e-01
1.207074e+00,5.186443e+00,7.719953e-02,1.543340e+01,1.610558e+00,5.019280e-01
1.860339e+00,5.767727e+00,3.038377e-01,1.356498e+01,1.956580e+00,4.483719e-01
1.473700e+00,5.597952e+00,1.372450e-01,1.327185e+01,2.023493e+00,5.116646e-01
1.961081e+00,5.193592e+00,3.846370e-01,1.304931e+01,2.062717e+00,5.236288e-01
7.324285e-01,7.132500e+00,5.119318e-01,1.781512e+01,1.712556e+00,5.223259e-01
1.954554e+00,5.480929e+00,4.681863e-01,1.271374e+01,1.452170e+00,5.338293e-01
1.817790e+00,5.314427e+00,1.773182e-01,1.196556e+01,1.181357e+00,4.902361e-01
1.680429e+00,5.406380e+00,3.297697e-01,1.370197e+01,2.184153e+00,5.065067e-01
1.316808e+00,5.848809e+00,3.899321e-01,1.411777e+01,2.348103e+00,5.335624e-01
1.441700e+00,5.351424e+00,3.915458e-01,1.410331e+01,1.350222e+00,5.190977e-01
1.519152e+00,5.755352e+00,2.879725e-01,1.379196e+01,2.483682e+00,5.246896e-01
