xloc,yloc,q,t0
2.060222e+01,-9.166803e+00,7.907712e+00,1.199425e+01
2.071171e+01,-9.700317e+00,7.793442e+00,1.177344e+01
2.077191e+01,-9.701660e+00,7.467564e+00,1.207043e+01
2.036061e+01,-9.393818e+00,7.711826e+00,1.187115e+01
1.992142e+01,-9.765310e+00,8.531320e+00,1.178258e+01
2.028982e+01,-9.167248e+00,8.124121e+00,1.189567e+01
2.079938e+01,-9.087549e+00,7.966313e+00,1.196489e+01
2.081596e+01,-9.262907e+00,7.746967e+00,1.195994e+01
2.051139e+01,-9.488443e+00,7.890000e+00,1.152962e+01
1.982730e+01,-9.626947e+00,8.365740e+00,1.202938e+01
2.096188e+01,-9.826196e+00,7.832945e+00,1.178393e+01
2.079875e+01,-9.446179e+00,8.119964e+00,1.205139e+01
2.057979e+01,-9.484759e+00,7.856748e+00,1.206630e+01
2.046841e+01,-9.020106e+00,7.919133e+00,1.170238e+01
2.023720e+01,-9.487368e+00,8.160411e+00,1.206495e+01
2.028955e+01,-9.215912e+00,8.252499e+00,1.212593e+01
2.047679e+01,-9.144188e+00,8.182059e+00,1.197389e+01
2.047193e+01,-9.207130e+00,7.945100e+00,1.168768e+01
2.053006e+01,-9.735807e+00,7.766456e+00,1.182317e+01
2.004333e+01,-8.945649e+00,8.147757e+00,1.109446e+01
2.067764e+01,-9.478410e+00,7.824730e+00,1.199706e+01
2.016321e+01,-9.547570e+00,8.065010e+00,1.183184e+01
2.019853e+01,-9.247271e+00,8.090716e+00,1.194744e+01
2.042953e+01,-9.781147e+00,7.994277e+00,1.179876e+01
1.994627e+01,-9.734781e+00,7.881926e+00,1.163775e+01
2.041504e+01,-9.718215e+00,7.921566e+00,1.203737e+01
2.046026e+01,-9.211676e+00,7.681122e+00,1.167939e+01
2.065653e+01,-9.307565e+00,7.827109e+00,1.185085e+01
2.044927e+01,-9.329163e+00,7.829936e+00,1.186163e+01
2.013469e+01,-9.084559e+00,7.897091e+00,1.210283e+01
2.054730e+01,-9.305154e+00,7.719944e+00,1.098296e+01
2.026258e+01,-9.299133e+00,8.214282e+00,1.196406e+01
